uniqueid,drugname,condition,review,rating,date,usefulcount,cleaned_review,sentiment_class,sentiment_rate,scaled_rating,scaled_sentiment,avg_rating,avg_sentiment,final_rate,positive_count,prescription_count,acceptance_rate,drug_name and review
397,Medroxyprogesterone,Abnormal Uterine Bleeding,Took the shot  and was bleeding  weeks straight every other week Then August  i started bleeding again and i have yet to stop It is now a year today when i first took my shot I now have another dr and she says after i do a pelvic ultrasound and blood work she will put me on the pill if everything looks normal The pill will regulate my cycle after about a month taking it I really hope it works,1,6/30/2015,4,Took shot bleeding week straight every week Then August started bleeding yet stop It year today first took shot I another dr say pelvic ultrasound blood work put pill everything look normal The pill regulate cycle month taking I really hope work,positive,0.135,1,6,1,5.5,3.25,1,2,0.5,Medroxyprogesterone-Took the shot  and was bleeding  weeks straight every other week Then August  i started bleeding again and i have yet to stop It is now a year today when i first took my shot I now have another dr and she says after i do a pelvic ultrasound and blood work she will put me on the pill if everything looks normal The pill will regulate my cycle after about a month taking it I really hope it works
776,Silodosin,Benign Prostatic Hyperplasia,Joint pain after start of medicine,4,6/30/2015,1,Joint pain start medicine,negative,0,2,5,4,4.5,4.25,0,2,0,Silodosin-Joint pain after start of medicine
842,Silodosin,Benign Prostatic Hyperplasia,I have noticed no difference in stream ml when I took the flow test after  days using and am unable to ejaculate yo male,4,1/31/2012,22,I noticed difference stream ml I took flow test day using unable ejaculate yo male,negative,-0.25,2,4,4,4.5,4.25,0,2,0,Silodosin-I have noticed no difference in stream ml when I took the flow test after  days using and am unable to ejaculate yo male
869,Methylin ER,ADHD,After  years of seeing psychiatrists I was finally correctly diagnosed with ADD My life completely normalized soon after starting this drug I took every antidepressant known to man with no results If you change jobs friends wives more often than your motor oil ADD may be your issue too I have suffered with this for  years now I feel like what I assumed normal people feel like I thank my lucky stars every day for this wonder drug Only reason I rated a   was because of the dry mouth it gives me but a small price to pay for the benefits received,9,1/2/2016,11,After year seeing psychiatrist I finally correctly diagnosed ADD My life completely normalized soon starting drug I took every antidepressant known man result If change job friend wife often motor oil ADD may issue I suffered year I feel like I assumed normal people feel like I thank lucky star every day wonder drug Only reason I rated dry mouth give small price pay benefit received,positive,0.085185185,5,5,9,5,7,1,1,1,Methylin ER-After  years of seeing psychiatrists I was finally correctly diagnosed with ADD My life completely normalized soon after starting this drug I took every antidepressant known to man with no results If you change jobs friends wives more often than your motor oil ADD may be your issue too I have suffered with this for  years now I feel like what I assumed normal people feel like I thank my lucky stars every day for this wonder drug Only reason I rated a   was because of the dry mouth it gives me but a small price to pay for the benefits received
932,Metoprolol Tartrate,Angina,"Extreme fatigue
Pressure in my head
Headaches
Dry mouth",1,5/8/2016,15,Extreme fatigue Pressure head Headaches Dry mouth,negative,-0.095833333,1,5,1,5,3,0,1,0,"Metoprolol Tartrate-Extreme fatigue
Pressure in my head
Headaches
Dry mouth"
937,Xeljanz XR,Rheumatoid Arthritis,On my rd week with no improvement increased pain swelling and FEVER exponentially increased not quotcorequot temp just quothot jointsquot decreased energy frequent headache and increased depression I didnt know any of these things could get worse than they already were But they have  Hanging in there because mine is in every single joint and quotunrelentingquot I dont really have flares cuz mine is constant daily and nightly pain swelling the fever ,4,9/26/2017,0,On rd week improvement increased pain swelling FEVER exponentially increased quotcorequot temp quothot jointsquot decreased energy frequent headache increased depression I didnt know thing could get worse already But Hanging mine every single joint quotunrelentingquot I dont really flare cuz mine constant daily nightly pain swelling fever,negative,-0.081632653,2,5,4,5,4.5,0,1,0,Xeljanz XR-On my rd week with no improvement increased pain swelling and FEVER exponentially increased not quotcorequot temp just quothot jointsquot decreased energy frequent headache and increased depression I didnt know any of these things could get worse than they already were But they have  Hanging in there because mine is in every single joint and quotunrelentingquot I dont really have flares cuz mine is constant daily and nightly pain swelling the fever 
958,Rituxan,Non-Hodgkin's Lymphoma,Just finished my sixth round of chemo treatment  I had Follicular B Cell Lymphoma  One on my right shoulder one on in my neck and two on my chest  After fourth round and a PET scan Doctor diagnosed me as being in  remission  I will do more research on the Rituxan  maintenance program recommended by my Oncologist  I had a reaction to the Rituxan my first treatment but did not have any other problems with the medicine  Highly recommended,9,12/4/2010,65,Just finished sixth round chemo treatment I Follicular B Cell Lymphoma One right shoulder one neck two chest After fourth round PET scan Doctor diagnosed remission I research Rituxan maintenance program recommended Oncologist I reaction Rituxan first treatment problem medicine Highly recommended,negative,0.083839286,5,5,9,5,7,0,1,0,Rituxan-Just finished my sixth round of chemo treatment  I had Follicular B Cell Lymphoma  One on my right shoulder one on in my neck and two on my chest  After fourth round and a PET scan Doctor diagnosed me as being in  remission  I will do more research on the Rituxan  maintenance program recommended by my Oncologist  I had a reaction to the Rituxan my first treatment but did not have any other problems with the medicine  Highly recommended
985,Pentosan polysulfate sodium,Interstitial Cystitis,I was diagnosed with IC a few years ago I had UTIs for  yrs I still get them once in a while I was introduced to Elmiron and took it for four year I totally helped me Unfortunately I had to stop taking it The cost of this medication is absolutely ridiculous I have a high deductible which means I was paying out of pocket It started out at  Moving up and up and up In the end I was paying over  I just couldnt do it anymore It disgusts me what these Pharmacudical companys charge My symptoms are back Its bearable But at the same times frustrating when I travel Ive tried the generic company Saying it would be  A month Only to be told it will eventually go up to  Unbelievable,9,5/5/2016,36,I diagnosed IC year ago I UTIs yr I still get I introduced Elmiron took four year I totally helped Unfortunately I stop taking The cost medication absolutely ridiculous I high deductible mean I paying pocket It started Moving In end I paying I couldnt anymore It disgust Pharmacudical company charge My symptom back Its bearable But time frustrating I travel Ive tried generic company Saying would A month Only told eventually go Unbelievable,negative,-0.138484848,5,4,9,4,6.5,0,1,0,Pentosan polysulfate sodium-I was diagnosed with IC a few years ago I had UTIs for  yrs I still get them once in a while I was introduced to Elmiron and took it for four year I totally helped me Unfortunately I had to stop taking it The cost of this medication is absolutely ridiculous I have a high deductible which means I was paying out of pocket It started out at  Moving up and up and up In the end I was paying over  I just couldnt do it anymore It disgusts me what these Pharmacudical companys charge My symptoms are back Its bearable But at the same times frustrating when I travel Ive tried the generic company Saying it would be  A month Only to be told it will eventually go up to  Unbelievable
989,Torsemide,Edema,Took torsemide  made me have diarrhea amp low out put of urineThe short version it did not work and it made me very sick,1,1/1/2017,5,Took torsemide made diarrhea amp low put urineThe short version work made sick,negative,-0.30952381,1,4,1,4,2.5,0,1,0,Torsemide-Took torsemide  made me have diarrhea amp low out put of urineThe short version it did not work and it made me very sick
994,Levo-Dromoran,Pain,I have pain daily and this medication has caused more side affects than help I now suffer from insomnia memory loss short term and leg restlessness Plus it is so very expensive and has to be mailed so I go through withdrawals every month I hate this medication ,1,2/27/2017,7,I pain daily medication caused side affect help I suffer insomnia memory loss short term leg restlessness Plus expensive mailed I go withdrawal every month I hate medication,negative,-0.19,1,4,1,4,2.5,0,1,0,Levo-Dromoran-I have pain daily and this medication has caused more side affects than help I now suffer from insomnia memory loss short term and leg restlessness Plus it is so very expensive and has to be mailed so I go through withdrawals every month I hate this medication 
1006,Everolimus,Breast Cance,"I was one of the few people who could not take it It attacked my body along with the cancer Quit taking it after  months but it would not flush from my system My skin was bad from dehydration as it did not allow my body to absorb moisture in my arms and legs My skin looked like parchment with nothing under it but bone and a little flesh Lost over  pounds in about a month 
Finally my regular doctor put me in the hospital as I found some men in Australia had to do I was given IVs for  days and am feeling much better It is a good medicine but some people just cannot take it",1,5/25/2013,34,I one people could take It attacked body along cancer Quit taking month would flush system My skin bad dehydration allow body absorb moisture arm leg My skin looked like parchment nothing bone little flesh Lost pound month Finally regular doctor put hospital I found men Australia I given IVs day feeling much better It good medicine people take,negative,0.01875,1,5,1,5,3,0,1,0,"Everolimus-I was one of the few people who could not take it It attacked my body along with the cancer Quit taking it after  months but it would not flush from my system My skin was bad from dehydration as it did not allow my body to absorb moisture in my arms and legs My skin looked like parchment with nothing under it but bone and a little flesh Lost over  pounds in about a month 
Finally my regular doctor put me in the hospital as I found some men in Australia had to do I was given IVs for  days and am feeling much better It is a good medicine but some people just cannot take it"
1011,Tolak,Actinic Keratosis,Used it for  days and no results whatsoever Typical   Fluorouracil Cremes show at least redness Tolak has shown none More so the formulation of it is horrible in that there are little white clumps Right out of the tube that make application difficult The manufacturer offers hugely discounted coupons Youre better off buying the generic for better results,3,1/6/2017,7,Used day result whatsoever Typical Fluorouracil Cremes show least redness Tolak shown none More formulation horrible little white clump Right tube make application difficult The manufacturer offer hugely discounted coupon Youre better buying generic better result,negative,0.010119048,2,5,4.5,5.5,5,1,2,0.5,Tolak-Used it for  days and no results whatsoever Typical   Fluorouracil Cremes show at least redness Tolak has shown none More so the formulation of it is horrible in that there are little white clumps Right out of the tube that make application difficult The manufacturer offers hugely discounted coupons Youre better off buying the generic for better results
1013,Fenoprofen,Rheumatoid Arthritis,The  mg fenoprofen tablets helped with the rheumatoid arthritis pain in my hands and increased function of my fingers I used the  mg tablets until my pharmacy was no longer able to obtain them  The capsules caused severe stomach pain making me unable to take them  I do not know the difference in the make up of the capsules and the tablets but the tablets did not cause the stomach pain I would like to be able to find the  mg tablets again,9,1/26/2013,0,The mg fenoprofen tablet helped rheumatoid arthritis pain hand increased function finger I used mg tablet pharmacy longer able obtain The capsule caused severe stomach pain making unable take I know difference make capsule tablet tablet cause stomach pain I would like able find mg tablet,negative,0.166666667,5,6,9,6,7.5,0,1,0,Fenoprofen-The  mg fenoprofen tablets helped with the rheumatoid arthritis pain in my hands and increased function of my fingers I used the  mg tablets until my pharmacy was no longer able to obtain them  The capsules caused severe stomach pain making me unable to take them  I do not know the difference in the make up of the capsules and the tablets but the tablets did not cause the stomach pain I would like to be able to find the  mg tablets again
1103,Metronidazole,Rosacea,Many people dont seem to like Metrogel but for me its really made a difference in my Rosacea One thing rosacea sufferers have to realize is that this treatment takes time I would have to say that it took a good  months to start seeing noticeable improvement with continued improvement the longer I use it On a side note I would like to add that my ears would flush when triggered by heat or stress and so I started to use Metrogel on them and it has helped reduce the flushing Overall pretty happy with results only negative aspect is the amount of time it takes for it to work,9,2/29/2012,110,Many people dont seem like Metrogel really made difference Rosacea One thing rosacea sufferer realize treatment take time I would say took good month start seeing noticeable improvement continued improvement longer I use On side note I would like add ear would flush triggered heat stress I started use Metrogel helped reduce flushing Overall pretty happy result negative aspect amount time take work,positive,0.26875,5,6,9,6,7.5,1,1,1,Metronidazole-Many people dont seem to like Metrogel but for me its really made a difference in my Rosacea One thing rosacea sufferers have to realize is that this treatment takes time I would have to say that it took a good  months to start seeing noticeable improvement with continued improvement the longer I use it On a side note I would like to add that my ears would flush when triggered by heat or stress and so I started to use Metrogel on them and it has helped reduce the flushing Overall pretty happy with results only negative aspect is the amount of time it takes for it to work
1363,Sumatriptan,Migraine,I have suffered from migraines for  years the older I am the worse they become I have both the Imitrex pills amp the shots  When I am nauseated I must use the shot  Approx  minute after injection the intense buring in my head amp the amplified headache are the worst side effects however NOTHING compared to the migraine  Usually the migraine is gone in    mins and I sleep it off There is also the    hour Imitrex hangover from the shot  Muscles feel as though they are made of jelly overall wiped out feeling  The pill does not have the burning effect for me and it takes the full  minutes to combat the migraine  Imitrex is the only medicine which has worked for me consistantly over the years  I become immune to all other  medicines,9,3/19/2012,14,I suffered migraine year older I worse become I Imitrex pill amp shot When I nauseated I must use shot Approx minute injection intense buring head amp amplified headache worst side effect however NOTHING compared migraine Usually migraine gone min I sleep There also hour Imitrex hangover shot Muscles feel though made jelly overall wiped feeling The pill burning effect take full minute combat migraine Imitrex medicine worked consistantly year I become immune medicine,negative,-0.145833333,5,4,7,4,5.5,0,2,0,Sumatriptan-I have suffered from migraines for  years the older I am the worse they become I have both the Imitrex pills amp the shots  When I am nauseated I must use the shot  Approx  minute after injection the intense buring in my head amp the amplified headache are the worst side effects however NOTHING compared to the migraine  Usually the migraine is gone in    mins and I sleep it off There is also the    hour Imitrex hangover from the shot  Muscles feel as though they are made of jelly overall wiped out feeling  The pill does not have the burning effect for me and it takes the full  minutes to combat the migraine  Imitrex is the only medicine which has worked for me consistantly over the years  I become immune to all other  medicines
1451,Sumatriptan,Migraine,It keeps my migraines from blowing out into a severe migraines but it takes close to an hour to kick in and when it does I feel extremely sick very fatigued for two hours after  Then I have just a mild headache but I feel like I have a hang over and become forgetful and weak  It is definitely a trade off but as severe as my migraine can get Ill take with this until I find another type of medication,5,8/4/2010,11,It keep migraine blowing severe migraine take close hour kick I feel extremely sick fatigued two hour Then I mild headache I feel like I hang become forgetful weak It definitely trade severe migraine get Ill take I find another type medication,negative,-0.165136054,3,4,7,4,5.5,0,2,0,Sumatriptan-It keeps my migraines from blowing out into a severe migraines but it takes close to an hour to kick in and when it does I feel extremely sick very fatigued for two hours after  Then I have just a mild headache but I feel like I have a hang over and become forgetful and weak  It is definitely a trade off but as severe as my migraine can get Ill take with this until I find another type of medication
1471,Triple Antibiotic,11</span> users found this comment helpful.,Used this product as well as having used Neosporin on different occasions This product works better and in less time Can be used over larger area than Neosporin,7,1/23/2010,11,Used product well used Neosporin different occasion This product work better le time Can used larger area Neosporin,positive,0.083333333,4,5,8,5,6.5,2,2,1,Triple Antibiotic-Used this product as well as having used Neosporin on different occasions This product works better and in less time Can be used over larger area than Neosporin
1479,Ultram ODT,Chronic Pain,I have the same problem among others and I was at a level  and  x mg tablets daily has taken me to a level  I have no side effects to speak of Works great for me,10,9/10/2013,77,I problem among others I level x mg tablet daily taken level I side effect speak Works great,positive,0.266666667,5,6,10,6,8,1,1,1,Ultram ODT-I have the same problem among others and I was at a level  and  x mg tablets daily has taken me to a level  I have no side effects to speak of Works great for me
1482,Daliresp,COPD,Been taking Daliresp for about a year It has definitively helped my breathing I am diagnosed with severe COPD This medicine and twice daily nebulizing with Brovana and Budesonide and Ipratropium for rescue has really helped me,10,4/2/2013,66,Been taking Daliresp year It definitively helped breathing I diagnosed severe COPD This medicine twice daily nebulizing Brovana Budesonide Ipratropium rescue really helped,positive,0.1,5,5,10,5,7.5,1,1,1,Daliresp-Been taking Daliresp for about a year It has definitively helped my breathing I am diagnosed with severe COPD This medicine and twice daily nebulizing with Brovana and Budesonide and Ipratropium for rescue has really helped me
1509,Eluxadoline,Irritable Bowel Syndrome,This is my second time on this medication For some background I have had IBS my whole life and had many tests done and tried all kinds of diets to try and help and nothing worked I used to go to the bathroom  times a day sometimes more usually with cramps I used to take bentyl but it makes me feel very sleepy and groggy I took the mg for awhile but it became less effective so now Im on the mg and it works a lot better and Im down to going to the bathroom about twice a day with minimal or no cramps through out the day The only side effect I have had is that about  minutes after taking the pill I feel weird like a weird feeling mostly in my upper backshoulders It goes away pretty quickly and doesnt hurt,9,8/23/2017,11,This second time medication For background I IBS whole life many test done tried kind diet try help nothing worked I used go bathroom time day sometimes usually cramp I used take bentyl make feel sleepy groggy I took mg awhile became le effective Im mg work lot better Im going bathroom twice day minimal cramp day The side effect I minute taking pill I feel weird like weird feeling mostly upper backshoulders It go away pretty quickly doesnt hurt,positive,0.083006536,5,5,9,5,7,1,1,1,Eluxadoline-This is my second time on this medication For some background I have had IBS my whole life and had many tests done and tried all kinds of diets to try and help and nothing worked I used to go to the bathroom  times a day sometimes more usually with cramps I used to take bentyl but it makes me feel very sleepy and groggy I took the mg for awhile but it became less effective so now Im on the mg and it works a lot better and Im down to going to the bathroom about twice a day with minimal or no cramps through out the day The only side effect I have had is that about  minutes after taking the pill I feel weird like a weird feeling mostly in my upper backshoulders It goes away pretty quickly and doesnt hurt
1670,Uricalm,Dysuria,Just dont mistake Uricalm Intensive for Uricalm  I grabbed the box in a rush and when I got home phenazopyridine the ingredient that stops the burning and pain is not in the Intensive  ,10,7/7/2015,13,Just dont mistake Uricalm Intensive Uricalm I grabbed box rush I got home phenazopyridine ingredient stop burning pain Intensive,negative,0,5,5,10,5,7.5,0,1,0,Uricalm-Just dont mistake Uricalm Intensive for Uricalm  I grabbed the box in a rush and when I got home phenazopyridine the ingredient that stops the burning and pain is not in the Intensive  
