Task,User Input,Output
Predict Condition Based on Drug Name and Review,"Drug: Medroxyprogesterone, Review: Took the shot  and was bleeding  weeks straight every other week Then August  i started bleeding again and i have yet to stop It is now a year today when i first took my shot I now have another dr and she says after i do a pelvic ultrasound and blood work she will put me on the pill if everything looks normal The pill will regulate my cycle after about a month taking it I really hope it works",Abnormal Uterine Bleeding
Visualize Data,Data Type: Rituxan,Visualization generated for Rituxan
Visualize Data,Data Type: Fenoprofen,Visualization generated for Fenoprofen
Visualize Data,Data Type: Meperidine,Visualization generated for Meperidine
Predict Condition Based on Drug Name and Review,"Drug: Silodosin, Review: Joint pain after start of medicine",Benign Prostatic Hyperplasia
Identify Useful Elements in a Review,Review: Took the shot  and was bleeding  weeks straight every other week Then August  i started bleeding again and i have yet to stop It is now a year today when i first took my shot I,"['started', 'took', 'yet', 'today', 'week', 'shot', 'bleeding']"
Identify Useful Elements in a Review,Review: Took torsemide  made me have diarrhea amp low out put of urineThe short version it did not work and it made me very sick,"Topic Distribution: ['mg', 'work', 'week', 'medication', 'effect', 'time', 'medicine', 'year', 'day', 'pain'], Dominant Topic: 0"
Identify Useful Elements in a Review,Review: I have pain daily and this medication has caused more side affects than help I now suffer from insomnia memory loss short term and leg restlessness Plus it is so very expensive and has to be mailed so I go through withdrawals every month I hate this medication,"Topic Distribution: ['started', 'pressure', 'work', 'day', 'month', 'taking', 'blood', 'medication', 'year', 'effect'], Dominant Topic: 2"
Identify Useful Elements in a Review,Review: Used it for  days and no results whatsoever Typical   Fluorouracil Cremes show at least redness Tolak has shown none More so the formulation of it is horrible in that there are little white clumps Right out of the tube that make application difficult The manufacturer offers hugely discounted coupons Youre better off buying the generic for better results,"Topic Distribution: ['like', 'started', 'time', 'year', 'period', 'week', 'im', 'pill', 'month', 'day'], Dominant Topic: 1"
Identify Useful Elements in a Review,Review: Many people dont seem to like Metrogel but for me its really made a difference in my Rosacea One thing rosacea sufferers have to realize is that this treatment takes time I would have to say that it took a good  months to start seeing noticeable improvement with continued improvement the longer I use it On a side note I would like to add that my ears would flush when triggered by heat or stress and so I started to use Metrogel on them and it has helped reduce the flushing Overall pretty happy with results only negative aspect is the amount of time it takes for it to work,"Topic Distribution: ['like', 'started', 'time', 'year', 'period', 'week', 'im', 'pill', 'month', 'day'], Dominant Topic: 1"
Identify Useful Elements in a Review,Review: Used this product as well as having used Neosporin on different occasions This product works better and in less time Can be used over larger area than Neosporin,"Topic Distribution: ['using', 'drug', 'drop', 'use', 'product', 'skin', 'great', 'used', 'day', 'eye'], Dominant Topic: 4"
Identify Useful Elements in a Review,Review: Just finished my sixth round of chemo treatment  I had Follicular B Cell Lymphoma  One on my right shoulder one on in my neck and two on my chest  After fourth round and a PET scan Doctor diagnosed me as being in  remission  I will do more research on the Rituxan  maintenance program recommended by my Oncologist  I had a reaction to the Rituxan my first treatment but did not have any other problems with the medicine  Highly recommended,"Topic Distribution: ['using', 'drug', 'drop', 'use', 'product', 'skin', 'great', 'used', 'day', 'eye'], Dominant Topic: 4"
Predict Condition,"Drug: Methylin ER, Review: ",Insomnia
Predict Condition,"Drug: Methylin ER, Review: After  years of seeing psychiatrists I was finally correctly diagnosed with ADD My life completely normalized soon after",Depression
Predict Condition,"Drug: Methylin ER, Review: After  years of seeing psychiatrists I was finally correctly diagnosed with ADD My life completely normalized soon after",Depression
Predict Condition,"Drug: Methylin ER, Review: After  years of seeing psychiatrists I was finally correctly diagnosed with ADD My life completely normalized soon after",Depression
Predict Condition,"Drug: Rituxan, Review: Just finished my sixth round of chemo treatment  I had Follicular B Cell Lymphoma  One on my right shoulder one on in my",Non-Hodgkin's Lymphoma
Predict Condition Based on Drug Name and Review,"Drug: Methylin ER, Review: After  years of seeing psychiatrists I was finally correctly diagnosed with ADD My life completely normalized soon after starting this drug I took every antidepressant known to man with no results If you change jobs friends wives more often than your motor oil ADD may be your issue too I have suffered with this for  years now I feel like what I assumed normal people feel like I thank my lucky stars every day for this wonder drug Only reason I rated a   was because of the dry mouth it gives me but a small price to pay for the benefits received",Depression
Predict Condition Based on Drug Name and Review,"Drug: Levo-Dromoran, Review: I have pain daily and this medication has caused more side affects than help I now suffer from insomnia memory loss short term and leg restlessness Plus it is so very expensive and has to be mailed so I go through withdrawals every month I hate this medication",Pain
Search Drugs by Condition and Visualize Sentiment,Condition: Levo-Dromoran,Top drugs for Levo-Dromoran: No drugs found for the given condition. Visualization generated.
Predict Drug Rating Based on Drug Name,Drug: Levo-Dromoran,1
Get Side Effects and Steroidal Information for a Drug,Drug: Levo-Dromoran,"Side Effects: Levo-Dromoran Is A Brand-Name Prescription Medication Used To Treat Moderate To Severe Pain. It Is A Schedule Ii Controlled Substance, Meaning It Has A High Potential For Abuse And Addiction.

Levo-Dromoran Is A Narcotic Analgesic, Which Means It Works By Binding To Opioid Receptors In The Brain To Reduce Pain. It Can Be Taken Orally Or By Injection.

Common Side Effects Of Levo-Dromoran Include:

* Drowsiness
* Dizziness
* Lightheadedness
* Nausea
* Vomiting
* Constipation
* Dry Mouth
* Sweating
* Blurred Vision
* Itching
* Skin Rash

Serious Side Effects Of Levo-Dromoran Can Include:

* Respiratory Depression (Slowed Breathing)
* Seizures
* Hallucinations
* Psychosis
* Liver Damage
* Kidney Damage
* Heart Problems
* Stroke
* Death

Levo-Dromoran Can Also Interact With Other Medications, So It Is Important To Tell Your Doctor About All Of The Medications You Are Taking, Including Prescription And Over-The-Counter Medications, Vitamins, And Herbal Supplements.

If You Are Pregnant Or Breastfeeding, Talk To Your Doctor Before Taking Levo-Dromoran. It Is Not Known If Levo-Dromoran Is Safe For Use During Pregnancy Or Breastfeeding.

If You Have Any Questions Or Concerns About Levo-Dromoran, Talk To Your Doctor., Steroidal Info: Non-Steroidal"
